<DATE>;<TIME>;<OPEN> ;<HIGH>;<LOW> ;<CLOSE> ;<VOL>
06.10.2017;120000;22,746.0879957;22,766.3886812;22,735.2476297;22,741.2778333;3,6
06.10.2017;130000;22,740.7078141;22,757.3483759;22,735.4176355;22,745.5679782;3,597
06.10.2017;140000;22,745.3679714;22,749.5181115;22,731.6175072;22,743.8179191;3,6
06.10.2017;150000;22,743.7179157;22,768.4887521;22,741.9678566;22,765.3186450;3,6
06.10.2017;160000;22,765.3886474;22,771.2788463;22,753.7482544;22,769.1287737;3,59
06.10.2017;170000;22,769.1287737;22,774.4389530;22,769.1287737;22,774.4389530;1,199
09.10.2017;100000;22,780.4991576;22,804.1399558;22,759.4284462;22,769.5787889;1,799
09.10.2017;110000;22,769.0387706;22,781.3591866;22,757.9683969;22,778.9891066;3,6
09.10.2017;120000;22,778.8991036;22,790.5494969;22,775.0289729;22,785.2293173;3,6
09.10.2017;130000;22,785.2293173;22,787.6293983;22,761.3385107;22,766.4686839;3,599
09.10.2017;140000;22,766.2686771;22,775.6689945;22,765.2786437;22,771.3688493;3,599
09.10.2017;150000;22,771.2088439;22,772.8789003;22,751.3081720;22,757.0783668;3,6
09.10.2017;160000;22,755.7483219;22,763.7285913;22,740.1477952;22,759.9484637;3,586
09.10.2017;170000;22,759.9484637;22,761.9085299;22,759.9484637;22,761.8385275;1,199
10.10.2017;100000;22,785.5293274;22,851.2815475;22,785.5293274;22,843.8512966;1,797
10.10.2017;110000;22,843.6512898;22,845.3713479;22,771.7588625;22,795.5496658;3,594
10.10.2017;120000;22,795.5096644;22,808.1100898;22,783.3992555;22,795.4996641;3,598
10.10.2017;130000;22,795.6396688;22,813.8802847;22,780.8091681;22,809.8701493;3,598
10.10.2017;140000;22,809.8701493;22,826.7007175;22,803.5899372;22,811.5202050;3,598
10.10.2017;150000;22,811.5802070;22,818.2504322;22,800.9398477;22,806.5900385;3,6
10.10.2017;160000;22,806.7200429;22,833.9309617;22,805.6200058;22,833.9309617;3,576
10.10.2017;170000;22,832.6909198;22,833.1709360;22,830.5508475;22,831.4508779;1,199
11.10.2017;100000;22,828.4207756;22,847.7214273;22,822.4305734;22,831.8308907;1,799
11.10.2017;110000;22,832.6509184;22,847.3114134;22,830.8908590;22,836.5510501;3,599
11.10.2017;120000;22,836.8910616;22,849.0114708;22,833.2709394;22,838.5011160;3,599
11.10.2017;130000;22,838.9811322;22,856.7417318;22,836.7410565;22,847.2814124;3,6
11.10.2017;140000;22,847.2414111;22,855.4916896;22,836.0910346;22,838.2611079;3,6
11.10.2017;150000;22,838.3011092;22,859.7118321;22,837.7510906;22,851.9415698;3,599
11.10.2017;160000;22,851.8415664;22,872.3222579;22,851.2015448;22,871.3522251;3,566
11.10.2017;170000;22,871.3522251;22,873.6623031;22,871.3522251;22,873.6623031;1,199
12.10.2017;100000;22,855.6216940;22,858.9818075;22,830.1708347;22,840.9111973;1,794
12.10.2017;110000;22,840.6311879;22,871.1822194;22,838.5411173;22,859.4818243;3,588
12.10.2017;120000;22,859.3318193;22,885.5927060;22,858.1917808;22,881.6725736;3,585
12.10.2017;130000;22,881.7125749;22,884.7126762;22,864.1919834;22,870.3421910;3,599
12.10.2017;140000;22,870.3421910;22,876.5924021;22,858.0417757;22,858.2117815;3,6
12.10.2017;150000;22,858.3517862;22,864.8920070;22,830.7808553;22,841.3912135;3,597
12.10.2017;160000;22,841.5412186;22,853.1416103;22,821.9005555;22,843.4012814;3,473
12.10.2017;170000;22,839.7111568;22,841.9112311;22,839.7111568;22,841.7812267;1,199
13.10.2017;100000;22,877.2024227;22,883.7826448;22,856.7017305;22,872.5322650;1,399
13.10.2017;110000;22,872.0422484;22,906.1033985;22,858.7517997;22,877.1224200;3,119
13.10.2017;120000;22,878.1524547;22,887.0427549;22,862.0319104;22,883.1226226;3,451
13.10.2017;130000;22,883.1026219;22,887.4527688;22,875.5423666;22,881.9625834;3,6
13.10.2017;140000;22,881.9725837;22,895.5230412;22,881.9725837;22,886.1627252;3,595
13.10.2017;150000;22,886.0927228;22,892.4529376;22,875.1923548;22,882.7726107;3,595
13.10.2017;160000;22,882.8426131;22,892.0029224;22,867.6721009;22,879.1324878;3,354
13.10.2017;170000;22,881.3725635;22,881.3725635;22,872.4922636;22,872.4922636;1,198
16.10.2017;100000;22,900.6532145;22,946.3447572;22,895.6730463;22,937.6644641;1,79
16.10.2017;110000;22,937.3244526;22,939.9645418;22,887.8927836;22,899.1731645;3,599
16.10.2017;120000;22,899.4631743;22,919.3838469;22,898.6331462;22,910.9735629;3,598
16.10.2017;130000;22,911.0735663;22,917.0937695;22,897.5531098;22,914.9036956;3,6
16.10.2017;140000;22,914.9736980;22,936.1444128;22,912.2436058;22,921.8739309;3,6
16.10.2017;150000;22,922.2139424;22,941.0645789;22,920.5838874;22,937.8944719;3,599
16.10.2017;160000;22,937.9344732;22,960.8952485;22,935.4443891;22,952.9349797;3,523
16.10.2017;170000;22,954.0450172;22,958.0051509;22,954.0450172;22,957.7351418;1,199
17.10.2017;100000;22,953.1849881;22,992.9863320;22,949.0048470;22,973.9756901;1,799
17.10.2017;110000;22,971.0255905;22,990.1562364;22,963.9853528;22,984.8560575;3,578
17.10.2017;120000;22,984.5260463;23,002.9766693;22,968.2354963;22,977.8258201;3,6
17.10.2017;130000;22,977.2458005;22,985.3960757;22,973.2156644;22,978.8358542;3,6
17.10.2017;140000;22,978.2558346;22,982.7459862;22,962.1152897;22,976.2557671;3,596
17.10.2017;150000;22,975.9757576;22,987.2161372;22,972.9256546;22,984.1660342;3,599
17.10.2017;160000;22,984.1360332;23,001.2866122;22,982.5859808;22,997.9064981;3,587
17.10.2017;170000;22,997.9064981;22,999.9765680;22,997.3264785;22,998.2165086;1,198
18.10.2017;100000;23,087.9095369;23,121.2206617;23,087.5295241;23,112.3203612;1,798
18.10.2017;110000;23,112.3803632;23,139.8412904;23,097.0198445;23,132.6510476;3,6
18.10.2017;120000;23,132.6010459;23,141.2113366;23,119.2705958;23,133.2610682;3,599
18.10.2017;130000;23,133.2210668;23,149.8116270;23,132.5010425;23,142.3413748;3,599
18.10.2017;140000;23,141.8013565;23,163.8020994;23,141.7313542;23,158.7719295;3,6
18.10.2017;150000;23,158.9119343;23,165.9021703;23,151.1516722;23,153.6717573;3,599
18.10.2017;160000;23,153.4917513;23,173.7124340;23,147.6115527;23,157.2118769;3,583
18.10.2017;170000;23,157.2118769;23,158.3819164;23,157.2118769;23,158.3819164;1,199
19.10.2017;100000;23,108.2502237;23,127.3608690;23,058.5985473;23,071.8489947;1,799
19.10.2017;110000;23,070.6489542;23,109.0002491;23,053.4483734;23,108.5802349;3,6
19.10.2017;120000;23,108.4602308;23,118.8605820;23,102.0400140;23,107.7702075;3,534
19.10.2017;130000;23,107.9102122;23,135.7111509;23,100.9599776;23,120.0506222;3,598
19.10.2017;140000;23,119.8906168;23,141.8513582;23,118.9905864;23,134.8011202;3,594
19.10.2017;150000;23,134.6911165;23,151.9216982;23,134.0110935;23,146.4515136;3,596
19.10.2017;160000;23,146.4915149;23,165.2921497;23,143.6814200;23,165.2921497;3,56
19.10.2017;170000;23,168.0222419;23,168.0222419;23,163.8221001;23,163.8221001;1,201
20.10.2017;100000;23,205.9635229;23,245.4348556;23,202.5634081;23,228.5842867;1,755
20.10.2017;110000;23,227.1742391;23,244.4348218;23,222.0540662;23,228.8142944;3,472
20.10.2017;120000;23,230.0043346;23,280.7760489;23,230.0043346;23,280.7760489;3,493
20.10.2017;130000;23,280.6360441;23,289.2363345;23,269.0656535;23,287.1562643;3,543
20.10.2017;140000;23,287.1562643;23,314.3571827;23,284.9761907;23,301.7567573;3,524
20.10.2017;150000;23,301.5567505;23,318.0673080;23,290.7763865;23,291.9064247;3,534
